t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.216000,3.967032e-04,2.683782e-03,0.000000e+00,1.472187e-04,2.775377e-04
0.217000,1.947107e-03,3.020350e-03,0.000000e+00,1.285755e-03,1.612933e-04
0.218000,9.194472e-05,3.110013e-03,0.000000e+00,3.122669e-09,1.807087e-04
0.219000,1.091225e-02,2.953511e-03,0.000000e+00,1.302863e-02,1.149353e-03
0.220000,1.889797e-02,3.186645e-03,0.000000e+00,1.742947e-02,1.396280e-04
0.221000,3.958685e-03,3.175523e-03,0.000000e+00,2.758119e-03,5.665287e-05
0.222000,2.460784e-04,3.314380e-03,1.562500e+01,7.890688e-04,9.209866e-05
0.223000,8.681337e-03,3.142001e-03,1.562500e+01,6.523261e-03,1.778047e-04
0.224000,6.018984e-03,3.176927e-03,0.000000e+00,3.911244e-03,5.693352e-04
0.225000,4.367082e-03,3.244693e-03,0.000000e+00,6.974984e-03,1.394041e-04
0.226000,2.989529e-03,3.294693e-03,0.000000e+00,4.771526e-03,1.331194e-04
0.227000,8.473714e-05,3.256126e-03,0.000000e+00,4.450341e-04,2.070861e-04
0.228000,2.929812e-03,3.349391e-03,0.000000e+00,1.846897e-03,6.811669e-05
0.229000,6.806841e-05,3.445670e-03,0.000000e+00,2.058264e-05,9.041232e-05
0.230000,6.339216e-05,3.454323e-03,0.000000e+00,2.214684e-05,1.000861e-04
0.231000,1.642591e-03,3.666351e-03,0.000000e+00,7.832769e-04,5.800003e-05
0.232000,5.604710e-04,3.463922e-03,1.562500e+01,1.391183e-03,1.543257e-04
0.233000,5.019803e-04,3.668247e-03,0.000000e+00,1.172932e-03,4.022793e-04
0.234000,3.748498e-04,3.746299e-03,0.000000e+00,8.991357e-04,6.237549e-04
0.235000,5.037024e-05,3.880630e-03,0.000000e+00,6.055932e-06,7.376022e-04
0.236000,3.068192e-04,4.174095e-03,0.000000e+00,7.299738e-04,1.176945e-03
0.237000,3.834318e-05,4.356964e-03,0.000000e+00,2.170567e-04,1.444591e-03
0.238000,3.510702e-04,4.548018e-03,0.000000e+00,7.163397e-04,1.941828e-03
0.239000,6.024364e-03,4.816476e-03,0.000000e+00,7.171869e-03,3.656617e-03
0.240000,7.689230e-04,5.009453e-03,0.000000e+00,5.640022e-04,3.355181e-03
0.241000,7.962677e-03,5.125774e-03,0.000000e+00,7.119031e-03,2.025882e-03
0.242000,9.938566e-03,5.134897e-03,0.000000e+00,1.159017e-02,3.947722e-03
0.243000,2.207061e-02,5.096176e-03,0.000000e+00,2.328901e-02,7.779740e-03
0.244000,2.545867e-04,5.309467e-03,0.000000e+00,2.079417e-04,8.489325e-03
0.245000,1.536034e-03,5.599140e-03,0.000000e+00,1.703582e-03,7.590918e-03
0.246000,2.282383e-03,6.386823e-03,0.000000e+00,2.339547e-03,7.092335e-03
0.247000,5.370592e-03,6.552821e-03,0.000000e+00,5.202194e-03,5.417321e-03
0.248000,2.298969e-04,6.973393e-03,0.000000e+00,1.294482e-04,5.556750e-03
0.249000,6.624992e-05,6.937155e-03,0.000000e+00,1.547402e-05,5.427216e-03
0.250000,3.356367e-05,6.917680e-03,0.000000e+00,1.030277e-04,5.642604e-03
0.251000,1.039897e-03,7.554030e-03,0.000000e+00,1.313554e-03,7.138663e-03
0.252000,5.922332e-03,8.115260e-03,0.000000e+00,6.342506e-03,1.005247e-02
0.253000,1.079718e-03,8.035131e-03,0.000000e+00,1.093732e-03,8.937259e-03
